name	pos	part	name_agreement_percent	H	subjective_complexity	familiarity	age_of_acquisition	imageability	image_agreement	frequency	frequency_log	syllables	phonemes	arguments	reflexivity	instrumentality	name_relation
199. клубника (a strawberry)	noun	1	88	0.72	2.34	4.56	1.47	1.03	4.57	4.5	0.7403626895	3	8	NR	NR	NR	NR
200. клубок (1) (a clew)	noun	1	95	0.35	2.82	3.96	1.76	1.04	4.81	6.8	0.8920946027	2	6	NR	NR	NR	NR
201. клубок (2) (a clew)	noun	2	52	1.98	2.54	3.31	1.76	1.03	4.45	6.8	0.8920946027	2	6	NR	NR	NR	NR
202. клюв (a beak)	noun	1	98	0.16	2.96	3.35	1.84	1.25	3.6	6.6	0.8808135923	1	4	NR	NR	NR	NR
203. ключ (a key)	noun	1	100	0	2.17	4.85	1.49	1.18	4.46	78	1.8976270913	1	4	NR	NR	NR	NR
204. книга (a book)	noun	1	95	0.4	2.55	4.88	1.26	1.05	4.42	413.9	2.6179434348	2	5	NR	NR	NR	NR
205. кнопка (a drawing-pin)	noun	2	96	0.32	1.85	3.63	2.01	1.19	3.04	33	1.531478917	2	6	NR	NR	NR	NR
206. кобра (a cobra)	noun	1	71	0.99	3.78	2.9	2.56	1.2	4.71	2.7	0.5682017241	2	5	NR	NR	NR	NR
207. кобура (a holster)	noun	1	97	0.24	3.09	3.05	3.28	1.65	4.31	7.9	0.9493900066	3	6	NR	NR	NR	NR
208. ковер (a carpet)	noun	1	96	0.3	2.96	4.25	1.43	1.06	4.24	29.5	1.4842998393	2	5	NR	NR	NR	NR
209. ковш (a ladle)	noun	2	55	2.4	3.42	2.7	2.12	1.21	2.78	4.8	0.7634279936	1	4	NR	NR	NR	NR
210. коготь (a claw)	noun	1	95	0.32	2.03	3.68	2.02	1.27	3.89	8.3	0.9684829486	2	5	NR	NR	NR	NR
211. коза (a she-goat)	noun	2	79	0.74	2.68	3.33	1.29	1.03	4.73	16.2	1.2355284469	2	4	NR	NR	NR	NR
212. козел (a he-goat)	noun	2	85	1.08	2.65	3.12	1.46	1.08	3.93	19.5	1.3117538611	2	5	NR	NR	NR	NR
213. коктейль (a cocktail)	noun	1	84	1	2.72	3.75	3.25	1.53	3.4	8.6	0.982271233	2	6	NR	NR	NR	NR
214. колба (a flask)	noun	2	61	1.99	2.34	2.73	3.43	1.2	3.03	3.1	0.6127838567	2	5	NR	NR	NR	NR
215. колбаса (a wurst)	noun	1	97	0.24	2.27	4.53	1.41	1.13	3.38	28	1.4623979979	3	7	NR	NR	NR	NR
216. колдун (a sorcerer)	noun	2	43	3.15	3.71	3.06	2.19	1.78	2.76	6.6	0.8808135923	2	6	NR	NR	NR	NR
217. колено (1) (a knee)	noun	1	73	1.54	1.74	4.64	1.41	1.08	3.59	102.8	2.0161973535	3	6	NR	NR	NR	NR
218. колено (2) (a knee)	noun	2	85	0.84	1.78	4.69	1.37	1.08	4.17	102.8	2.0161973535	3	6	NR	NR	NR	NR
219. колесо (a wheel)	noun	1	98	0.16	3.02	4.54	1.39	1.05	3.79	68.4	1.8413594705	3	6	NR	NR	NR	NR
220. колодец (a well)	noun	1	99	0.08	3.5	3.69	1.85	1.24	4.24	23.9	1.3961993471	3	7	NR	NR	NR	NR
221. колокол (a bell)	noun	1	99	0.08	3.4	3.44	2.13	1.12	4.11	15.8	1.2253092817	3	7	NR	NR	NR	NR
222. колокольчик (a jingle bell)	noun	1	90	0.57	2.68	3.25	1.64	1.03	3.32	9.4	1.0170333393	4	10	NR	NR	NR	NR
223. колонна (a column)	noun	2	94	0.4	2.85	3.4	2.81	1.27	4.44	41.6	1.6294095991	3	6	NR	NR	NR	NR
224. кольцо (a ring)	noun	1	89	0.5	2.85	4.21	1.72	1.05	4.1	59.5	1.7817553747	2	5	NR	NR	NR	NR
225. коляска (a baby carriage)	noun	1	98	0.16	3.34	4.11	1.3	1.25	4.45	16.8	1.2504200023	3	7	NR	NR	NR	NR
226. комната (a room)	noun	2	52	1.51	3.86	4.63	1.23	1.2	3.89	310.7	2.4937368023	3	7	NR	NR	NR	NR
227. комод (a commode)	noun	2	84	0.92	1.99	4.2	2.46	1.44	3.97	5.2	0.7923916895	2	5	NR	NR	NR	NR
228. компас (a compass)	noun	1	100	0	3.1	3.72	2.52	1.2	4.53	4.8	0.7634279936	2	6	NR	NR	NR	NR
229. компьютер (a computer)	noun	1	91	0.63	2.7	4.91	3.69	1.2	4.22	63.2	1.8075350281	3	9	NR	NR	NR	NR
230. конверт (an envelope)	noun	2	95	0.29	1.23	4.32	2.06	1.05	4.81	25.4	1.4216039269	2	7	NR	NR	NR	NR
231. конструктор (construction set)	noun	2	73	1	3.2	3.35	2	1.43	3.8	25.6	1.4248816366	3	11	NR	NR	NR	NR
232. контролер (a ticket inspector)	noun	2	52	2.22	3.41	3.86	2.72	1.81	3.4	5.9	0.8388490907	3	9	NR	NR	NR	NR
233. конфета (a sweet)	noun	1	99	0.08	2.52	4.81	1.12	1	4.61	19.6	1.3138672204	3	7	NR	NR	NR	NR
234. коньки (skates)	noun	2	99	0.08	3.12	3.65	2.2	1.04	4.72	12	1.1139433523	2	5	NR	NR	NR	NR
235. копилка (a piggy bank)	noun	1	99	0.08	2.71	3.69	2.25	1.28	4.49	2.2	0.5051499783	3	7	NR	NR	NR	NR
236. копье (a spear)	noun	2	91	0.57	2.54	2.59	2.47	1.12	4.44	10	1.0413926852	2	5	NR	NR	NR	NR
237. корабль (a ship)	noun	1	44	2.46	4.05	3.23	1.69	1.23	2.92	112.5	2.0549958615	2	6	NR	NR	NR	NR
238. корень (a root)	noun	1	58	1.33	2.91	3.95	2.05	1.5	3.91	63.7	1.8109042807	2	5	NR	NR	NR	NR
239. корзина (a basket)	noun	1	83	0.79	3.75	3.72	1.7	1.2	3.22	19.4	1.3096301674	3	7	NR	NR	NR	NR
240. коридор (a corridor)	noun	2	98	0.16	3.64	4.66	1.54	1.18	3.88	110.8	2.0484418036	3	7	NR	NR	NR	NR
241. коробка (a box)	noun	2	98	0.14	2.35	4.6	1.43	1.03	3.06	49	1.6989700043	3	7	NR	NR	NR	NR
242. корова (a cow)	noun	1	97	0.24	2.92	4.19	1.2	1.05	4.36	44.8	1.660865478	3	6	NR	NR	NR	NR
243. королева (a queen)	noun	2	82	1	2.99	2.79	1.59	1.23	4.21	22.4	1.3692158574	4	8	NR	NR	NR	NR
244. корона (a crown)	noun	1	99	0.08	3.16	3.31	1.68	1.07	4.17	9.4	1.0170333393	3	6	NR	NR	NR	NR
245. корсет (a corset)	noun	1	100	0	2.74	3.3	3.64	1.33	4.68	1.9	0.4623979979	2	6	NR	NR	NR	NR
246. корыто (a wash-tub)	noun	2	92	0.59	2.27	2.71	1.95	1.51	4.58	6.4	0.8692317197	3	6	NR	NR	NR	NR
247. коса (a scythe)	noun	2	94	0.41	2.45	3.13	1.7	1.12	2.67	19.1	1.3031960574	2	4	NR	NR	NR	NR
248. космонавт (an astronaut)	noun	1	93	0.45	3.74	3.34	2.06	1.13	3.97	14.6	1.1931245984	3	9	NR	NR	NR	NR
249. костер (a fire)	noun	1	97	0.22	3.19	4.15	1.81	1.13	4.09	48	1.69019608	2	6	NR	NR	NR	NR
250. костыль (a crutch)	noun	1	100	0	2.61	3.31	2.69	1.27	4.66	9.2	1.0086001718	2	6	NR	NR	NR	NR
251. кость (a bone)	noun	2	95	0.32	1.7	3.58	1.61	1.11	4.56	58.5	1.7745169657	1	4	NR	NR	NR	NR
252. костюм (a costume)	noun	2	97	0.24	2.47	4.38	2.08	1.26	4.27	81.3	1.9153998352	2	6	NR	NR	NR	NR
253. кошелек (1) (a wallet)	noun	1	47	1.59	2.99	4.59	1.95	1.12	3.3	11.4	1.0934216852	3	7	NR	NR	NR	NR
254. кошка (a cat)	noun	1	55	1.27	3.12	4.74	1.07	1.02	4.13	50.4	1.710963119	2	5	NR	NR	NR	NR
255. кощей (Koschei)	noun	2	89	0.81	4.1	2.9	1.66	1.54	3.38	2	0.4771212547	2	5	NR	NR	NR	NR
256. кран (a tap)	noun	2	94	0.33	2.45	4.81	1.59	1.25	3.97	23.3	1.3856062736	1	4	NR	NR	NR	NR
257. креветка (a shrimp)	noun	2	64	1.48	3.28	3.41	3.72	1.36	4.55	3.7	0.6720978579	3	8	NR	NR	NR	NR
258. крендель (a pretzel)	noun	1	47	2.36	2.34	3.49	2.74	1.27	4.48	1.6	0.414973348	2	7	NR	NR	NR	NR
259. кресло (a seat)	noun	2	76	0.8	2.91	4.38	1.51	1.06	3.55	93.6	1.9758911364	2	6	NR	NR	NR	NR
260. крест (a cross)	noun	1	89	0.55	2.09	3.86	1.73	1.08	3.57	56.4	1.7589118924	1	5	NR	NR	NR	NR
261. кровать (a bed)	noun	1	96	0.27	2.8	4.88	1.24	1.13	4.16	88.4	1.9513375188	2	6	NR	NR	NR	NR
262. крокодил (a crocodile)	noun	1	92	0.49	4.12	3.08	1.56	1.06	4.48	10.7	1.0681858617	3	8	NR	NR	NR	NR
263. кролик (a rabbit)	noun	2	53	1.07	2.34	3.48	1.55	1.11	4.26	11.9	1.1105897103	2	6	NR	NR	NR	NR
264. кроссворд (a crossword)	noun	1	98	0.16	2.89	4.2	2.63	1.12	4.79	2.7	0.5682017241	2	8	NR	NR	NR	NR
265. крот (a mole)	noun	1	89	0.71	3.23	2.77	1.97	1.51	3.12	6	0.84509804	1	4	NR	NR	NR	NR
266. круг (a circle)	noun	1	75	0.93	1.18	4.6	1.42	1.04	4.73	157.4	2.1997551773	1	4	NR	NR	NR	NR
267. кружка (a mug)	noun	1	90	0.47	2.58	4.62	1.35	1.04	4.21	26.4	1.4377505628	2	6	NR	NR	NR	NR
268. крыло (a wing)	noun	1	98	0.16	3.37	3.84	1.64	1.24	4.05	67.6	1.8363241157	2	5	NR	NR	NR	NR
269. крыса (a rat)	noun	2	72	1.08	3.15	3.33	1.77	1.12	4.23	17.7	1.2718416065	2	5	NR	NR	NR	NR
270. крыша (a roof)	noun	1	87	0.6	3.6	4.13	1.46	1.09	4.28	85	1.9344984512	2	5	NR	NR	NR	NR
271. крышка (a lid)	noun	2	83	1.12	2.76	4.24	1.64	1.21	3.31	30.9	1.5037906831	2	6	NR	NR	NR	NR
272. крючок (a hook)	noun	2	87	0.61	1.9	3.02	1.85	1.14	3.81	17.7	1.2718416065	2	6	NR	NR	NR	NR
273. куб (a cube)	noun	1	99	0.08	1.25	4.27	2.34	1.09	4.86	5.7	0.8260748027	1	3	NR	NR	NR	NR
274. кубики (cubes)	noun	2	97	0.24	2.56	3.51	1.11	1.04	4.44	9.9	1.0374264979	3	6	NR	NR	NR	NR
275. кувшин (a jug)	noun	1	94	0.4	2	4.29	1.98	1.21	4.29	6.8	0.8920946027	2	6	NR	NR	NR	NR
276. кузнечик (a grasshopper)	noun	1	62	1.95	3.93	3.56	1.63	1.35	3.27	4.8	0.7634279936	3	8	NR	NR	NR	NR
277. кукла (a doll)	noun	1	80	0.83	3.22	4.02	1.11	1.05	3.5	25.3	1.4199557485	2	5	NR	NR	NR	NR
278. кукуруза (an ear of corn)	noun	1	77	0.95	3.3	4.18	1.91	1.14	4.38	6.8	0.8920946027	4	8	NR	NR	NR	NR
279. кулак (a fist)	noun	1	96	0.27	3.08	4.41	1.56	1.09	4.55	62.5	1.8027737253	2	5	NR	NR	NR	NR
280. купальник (a swimsuit)	noun	2	71	1.24	2.7	4.35	2.16	1.17	3.95	4	0.6989700043	3	8	NR	NR	NR	NR
281. курица (a chicken)	noun	1	98	0.16	3.33	4.03	1.38	1.06	4.75	33.1	1.532754379	3	6	NR	NR	NR	NR
282. куртка (a jacket)	noun	2	69	1.47	3.09	4.29	1.55	1.07	3.83	41	1.6232492904	2	6	NR	NR	NR	NR
283. кухня (a kitchen)	noun	2	95	0.38	2.96	4.82	1.3	1.09	3.75	120.1	2.0831441431	2	5	NR	NR	NR	NR
284. лаборатория (a laboratory)	noun	2	52	1.92	3.48	3.23	3.23	1.71	3.24	52.2	1.7259116323	6	12	NR	NR	NR	NR
285. ладонь (a palm of the hand)	noun	2	83	0.92	2.77	4.83	1.34	1.02	4.72	92.7	1.9717395909	2	5	NR	NR	NR	NR
286. лампа (1) (a lamp)	noun	1	95	0.35	3.13	4.65	1.46	1.12	3.63	34	1.5440680444	2	5	NR	NR	NR	NR
287. лампа (2) (a lamp)	noun	2	43	1.66	2.22	4.47	1.53	1.27	2.63	34	1.5440680444	2	5	NR	NR	NR	NR
288. лампочка (a light bulb)	noun	2	83	0.8	3.09	4.75	1.5	1.01	4.91	21.7	1.3560258572	3	8	NR	NR	NR	NR
289. ландыш (a lily of the valley)	noun	2	74	1.36	3.28	3.58	2.18	1.43	4.53	2.9	0.591064607	2	6	NR	NR	NR	NR
290. ластик (an eraser)	noun	1	85	0.9	2.48	4.31	2.32	1.12	4.44	0.9	0.278753601	2	6	NR	NR	NR	NR
291. лебедь (a swan)	noun	1	98	0.14	3.06	3.77	1.78	1.25	4.22	14.9	1.2013971243	2	5	NR	NR	NR	NR
292. лев (a lion)	noun	2	98	0.14	2.66	3.51	1.2	1.05	3.63	64.3	1.8149131813	1	3	NR	NR	NR	NR
293. лейка (a watering-can)	noun	1	100	0	2.5	3.95	1.59	1.05	4.39	1.3	0.361727836	2	5	NR	NR	NR	NR
294. леопард (a leopard)	noun	1	64	1.91	3.23	3.22	2.24	1.24	4.16	2.1	0.4913616938	3	7	NR	NR	NR	NR
295. лес (a forest)	noun	2	89	0.84	2.65	4.12	1.24	1.06	3.58	211.5	2.3273589344	1	3	NR	NR	NR	NR
296. лестница (stairs)	noun	2	96	0.32	2.71	4.84	1.33	1.1	3.86	83.1	1.9247959958	3	7	NR	NR	NR	NR
297. лимон (a lemon)	noun	1	92	0.49	2.69	4.58	1.81	1	4.11	11.7	1.103803721	2	5	NR	NR	NR	NR
298. линейка (a ruler)	noun	1	100	0	2.31	4.58	2.09	1.05	4.91	8.6	0.982271233	3	7	NR	NR	NR	NR
299. лиса (a fox)	noun	1	78	1.17	2.79	3.65	1.32	1.19	4	8.7	0.9867717343	2	4	NR	NR	NR	NR
300. лицо (a face)	noun	1	57	1.48	2.83	4.82	1.25	1.56	3.13	878	2.9439888751	2	4	NR	NR	NR	NR
301. лоб (a forehead)	noun	1	81	0.96	2.04	4.89	1.37	1.28	3.92	78.7	1.9014583214	1	3	NR	NR	NR	NR
302. лодка (a boat)	noun	1	97	0.22	3.43	3.6	1.69	1.04	4.46	62.9	1.8055008582	2	5	NR	NR	NR	NR
303. ложка (a spoon)	noun	2	95	0.4	1.63	4.84	1.07	1.01	4.38	40.5	1.6180480967	2	5	NR	NR	NR	NR
304. локоть (an elbow)	noun	1	98	0.16	2.09	4.6	1.52	1.13	4.57	40.2	1.614897216	2	5	NR	NR	NR	NR
305. лопата (a shovel)	noun	1	100	0	2.28	4.23	1.45	1.03	4.8	19.5	1.3117538611	3	6	NR	NR	NR	NR
306. лось (an elk)	noun	1	97	0.19	2.99	3.18	2.16	1.19	4.12	6.5	0.8750612634	1	3	NR	NR	NR	NR
307. лошадь (a horse)	noun	2	78	1.01	2.91	3.55	1.2	1.04	4.11	80.9	1.9132839018	2	5	NR	NR	NR	NR
308. лужа (a puddle)	noun	2	90	0.52	1.65	4.7	1.13	1.08	4.24	22.2	1.3654879849	2	4	NR	NR	NR	NR
309. лыжи (skis)	noun	2	98	0.16	2.47	3.9	1.85	1.09	4.22	18.3	1.285557309	2	4	NR	NR	NR	NR
310. люстра (a chandelier)	noun	1	97	0.24	2.97	4.68	1.83	1.21	4.09	9.9	1.0374264979	2	6	NR	NR	NR	NR
311. лягушка (a frog)	noun	1	74	0.83	3.04	3.77	1.31	1.06	4.22	10.5	1.0606978404	3	7	NR	NR	NR	NR
312. магнитофон (a tape recorder)	noun	1	88	0.82	3.51	3.28	2.56	1.27	3.21	14.3	1.1846914308	4	10	NR	NR	NR	NR
313. майка (a tank top)	noun	1	97	0.24	1.84	4.65	1.47	1.07	4.62	15.2	1.2095150145	2	5	NR	NR	NR	NR
314. малина (raspberries)	noun	1	61	1.83	3.36	4.27	1.41	1.07	3.77	7.2	0.9138138524	3	6	NR	NR	NR	NR
315. маска (a mask)	noun	1	94	0.37	2.17	3.94	1.95	1.21	3.23	34.3	1.5477747054	2	5	NR	NR	NR	NR
316. масло (butter)	noun	1	40	3.34	3.07	3.74	1.43	1.29	3.97	73	1.8692317197	2	5	NR	NR	NR	NR
317. матрас (a mattress)	noun	2	58	1.47	3.34	4.21	1.93	1.16	3.57	8	0.9542425094	2	6	NR	NR	NR	NR
318. матрос (a sailor)	noun	2	55	1.15	2.61	2.71	2.21	1.22	4.26	22.1	1.3636119799	2	6	NR	NR	NR	NR
319. маяк (a lighthouse)	noun	1	100	0	2.42	3.21	2.54	1.17	3.9	8.5	0.9777236053	2	5	NR	NR	NR	NR
320. медведь (a bear)	noun	2	94	0.42	2.52	3.39	1.18	1.05	3.96	33.4	1.5365584426	2	6	NR	NR	NR	NR
321. медсестра (a nurse)	noun	2	93	0.48	2.76	3.91	2.01	1.2	4.03	16.1	1.2329961104	3	9	NR	NR	NR	NR
322. мельница (a mill)	noun	2	100	0	3.57	2.73	2.32	1.26	4.48	10.5	1.0606978404	3	7	NR	NR	NR	NR
323. месяц (a moon)	noun	1	53	1.96	1.55	4.67	1.66	2.01	3.37	328	2.5171958979	2	5	NR	NR	NR	NR
324. метла (a broom)	noun	1	100	0	2.56	3.88	1.73	1.08	4.7	6.7	0.8864907252	2	5	NR	NR	NR	NR
325. меч (a sword)	noun	1	96	0.28	2.11	3.57	2.04	1.04	4.87	33.3	1.53529412	1	3	NR	NR	NR	NR
326. мешок (a sack)	noun	1	97	0.24	2.05	3.51	1.68	1.13	4.34	61.1	1.7930916002	2	5	NR	NR	NR	NR
327. микроскоп (a microscope)	noun	1	99	0.08	3.42	3.69	3.03	1.24	4.76	6	0.84509804	3	9	NR	NR	NR	NR
328. микрофон (a microphone)	noun	1	100	0	3.25	3.87	2.65	1.04	4.67	16.3	1.2380461031	3	8	NR	NR	NR	NR
329. миксер (a mixer)	noun	1	94	0.46	3.03	4.17	2.88	1.36	4.21	0.6	0.2041199827	2	6	NR	NR	NR	NR
330. миска (a bowl)	noun	1	63	1.41	1.83	4.57	1.65	1.09	3.91	12.1	1.1172712957	2	5	NR	NR	NR	NR
331. мозг (a brain)	noun	1	97	0.22	3.63	4.28	2.72	1.15	4.21	84.5	1.9319661147	1	4	NR	NR	NR	NR
332. молоко (milk)	noun	1	75	1.37	2.87	4.71	1.14	1.25	3.54	57.4	1.7664128471	3	6	NR	NR	NR	NR
333. молоток (a hammer)	noun	1	99	0.08	2.77	4.28	1.62	1.04	4.68	12.4	1.1271047984	3	7	NR	NR	NR	NR
334. мольберт (an easel)	noun	1	97	0.24	2.67	2.92	3.32	1.22	4.28	2.3	0.5185139399	2	7	NR	NR	NR	NR
335. морж (a walrus)	noun	1	93	0.45	3.35	2.82	2.31	1.36	4.04	2.6	0.5563025008	1	4	NR	NR	NR	NR
336. морковь (a carrot)	noun	1	73	1.1	2.34	4.62	1.33	1.01	4.71	8.8	0.9912260757	2	6	NR	NR	NR	NR
337. мост (a bridge)	noun	2	94	0.48	2.83	3.87	1.67	1.04	2.86	65.4	1.8221680794	1	4	NR	NR	NR	NR
338. мотоцикл (a motor-cycle)	noun	1	98	0.16	4.14	3.66	2.05	1.24	4.07	18.4	1.2878017299	3	8	NR	NR	NR	NR
339. мочалка (a loofah)	noun	2	86	0.96	3.12	4.02	1.65	1.19	3.58	2.2	0.5051499783	3	7	NR	NR	NR	NR
340. муравей (an ant)	noun	1	100	0	3.43	4.18	1.41	1.13	4.68	12.1	1.1172712957	3	7	NR	NR	NR	NR
341. мусорка (a trash can)	noun	1	48	2.18	1.98	4.36	2.06	1.29	2.97	0	0	3	7	NR	NR	NR	NR
342. муха (a fly)	noun	1	93	0.49	3.61	4.36	1.39	1.1	3.91	27.1	1.4487063199	2	4	NR	NR	NR	NR
343. мышь (a mouse)	noun	1	64	1.01	3.06	3.59	1.3	1.03	4.4	37	1.5797835966	1	3	NR	NR	NR	NR
344. мяч (a ball)	noun	1	100	0	2.14	4.14	1.12	1.01	3.74	26.4	1.4377505628	1	3	NR	NR	NR	NR
345. намордник (a muzzle)	noun	1	97	0.22	3.16	3.35	2.62	1.36	3.42	2	0.4771212547	3	9	NR	NR	NR	NR
346. наперсток (a thimble)	noun	1	95	0.33	3.37	3.38	2.36	1.13	4.9	1.5	0.3979400087	3	9	NR	NR	NR	NR
347. наручники (handcuffs)	noun	1	99	0.08	2.71	3.01	2.82	1.12	4.65	7.2	0.9138138524	4	9	NR	NR	NR	NR
348. наушники (earphones)	noun	1	99	0.08	3.51	4.77	2.93	1.22	4.15	4.9	0.7708520116	4	8	NR	NR	NR	NR
349. невеста (a bride)	noun	2	99	0.08	2.64	3.53	1.87	1.16	4.06	31.7	1.5145477527	3	7	NR	NR	NR	NR
350. нога (a leg)	noun	1	94	0.43	2.61	4.8	1.14	1.04	4.4	459.2	2.6629466143	2	4	NR	NR	NR	NR
351. нож (a knife)	noun	1	98	0.16	1.91	4.79	1.31	1.02	4.84	66.6	1.8299466959	1	3	NR	NR	NR	NR
352. ножницы (scissors)	noun	1	100	0	2.31	4.7	1.56	1.01	4.62	8.7	0.9867717343	3	7	NR	NR	NR	NR
353. нора (a hole)	noun	2	66	2.14	3.12	3	1.97	1.44	3.91	13.1	1.1492191127	2	4	NR	NR	NR	NR
354. нос (a nose)	noun	1	99	0.08	2.04	4.79	1.08	1.04	4.32	138.8	2.1455071714	1	3	NR	NR	NR	NR
355. носилки (a tub with handles)	noun	1	88	0.8	2.87	2.89	2.94	1.43	2.61	8.3	0.9684829486	3	7	NR	NR	NR	NR
356. носок (a sock)	noun	1	100	0	2.18	4.82	1.22	1.08	4.46	25.2	1.4183012913	2	5	NR	NR	NR	NR
357. носорог (a rhinoceros)	noun	1	99	0.08	3.19	3.24	2.09	1.28	4.82	2.1	0.4913616938	3	7	NR	NR	NR	NR
358. нота (a note)	noun	1	92	0.6	1.67	3.63	2.36	1.27	4.81	23.6	1.3909351071	2	4	NR	NR	NR	NR
359. ноты (notes)	noun	2	93	0.51	2.77	3.58	2.29	1.16	4.51	23.6	1.3909351071	2	4	NR	NR	NR	NR
360. ноутбук (a laptop)	noun	1	93	0.46	2.84	4.84	4.52	1.11	4.56	3	0.6020599913	3	7	NR	NR	NR	NR
361. ночь (a night)	noun	1	46	2.29	2.73	4.68	1.15	1.31	3.05	402.8	2.6061663146	1	3	NR	NR	NR	NR
362. обезьяна (a monkey)	noun	1	67	1.53	3.34	3.58	1.6	1.21	3.89	17.4	1.264817823	4	8	NR	NR	NR	NR
363. ободок (a band)	noun	2	80	1.03	2.55	3.81	2.6	1.54	3.69	1.8	0.4471580313	3	6	NR	NR	NR	NR
364. овал (an oval)	noun	2	66	2.08	1.13	3.91	2.21	1.07	4.59	4.4	0.7323937598	2	4	NR	NR	NR	NR
365. овца (a sheep)	noun	2	39	2.1	2.63	3.15	1.55	1.08	3.88	17.5	1.2671717284	2	4	NR	NR	NR	NR
366. огурец (a cucumber)	noun	1	95	0.38	2.37	4.63	1.2	1.03	3.73	18.9	1.2988530764	3	6	NR	NR	NR	NR
367. одеяло (a blanket)	noun	1	65	1.76	2.65	4.66	1.26	1.11	3.38	38.8	1.5998830721	4	7	NR	NR	NR	NR
368. одуванчик (a dandelion)	noun	1	97	0.24	3.43	4.47	1.44	1.11	4.14	4.5	0.7403626895	4	9	NR	NR	NR	NR
369. ожерелье (a necklace)	noun	1	42	1.9	3.66	3.68	2.69	1.52	3.68	3.3	0.6334684556	4	8	NR	NR	NR	NR
370. озеро (a lake)	noun	2	73	1.52	3.39	4.15	1.75	1.13	3.93	54.9	1.7474118079	3	5	NR	NR	NR	NR
371. окно (a window)	noun	1	91	0.65	2.48	4.74	1.18	1.06	2.84	280.8	2.4499409888	2	4	NR	NR	NR	NR
372. окорок (ham)	noun	1	43	2.78	2.56	3.49	3.03	1.64	3.36	2.2	0.5051499783	3	6	NR	NR	NR	NR
373. олень (a deer)	noun	2	92	0.49	2.72	3.08	1.66	1.16	4.3	15.6	1.220108088	2	4	NR	NR	NR	NR
374. операционная (an operating room)	noun	2	51	2.51	3.31	3.11	3.27	1.64	4.11	0.6	0.2041199827	7	12	NR	NR	NR	NR
375. орден (a military medal)	noun	2	74	1.23	2.51	3.22	2.76	1.36	3.94	42.2	1.6354837468	2	5	NR	NR	NR	NR
376. орех (a nut)	noun	1	90	0.52	2.64	4.37	1.6	1.28	3.48	15.7	1.2227164711	2	4	NR	NR	NR	NR
377. оркестр (an orchestra)	noun	1	95	0.32	4.07	3.78	2.76	1.71	4.18	44.2	1.6551384348	2	7	NR	NR	NR	NR
378. осел (a donkey)	noun	1	77	1.16	2.96	3.3	1.67	1.22	3.93	7.5	0.9294189257	2	4	NR	NR	NR	NR
379. остров (an island)	noun	2	91	0.68	2.22	3.2	2.01	1.23	4.22	95.7	1.9854264741	2	6	NR	NR	NR	NR
380. осьминог (an octopus)	noun	2	96	0.3	3.3	2.85	2.46	1.15	4.37	1.7	0.4313637642	3	7	NR	NR	NR	NR
381. отвертка (a screwdriver)	noun	2	93	0.52	2.46	3.71	2.32	1.1	4.52	2.4	0.531478917	3	8	NR	NR	NR	NR
382. открывашка (a bottle-opener)	noun	2	61	1.72	2.66	4	2.57	1.28	4.53	0	0	4	10	NR	NR	NR	NR
383. открытка (a post card)	noun	1	77	1.47	2.79	4.17	1.93	1.21	3.61	18.9	1.2988530764	3	8	NR	NR	NR	NR
384. официант (a waiter)	noun	2	100	0	3.28	4.15	2.81	1.28	4.24	20.7	1.3364597338	4	8	NR	NR	NR	NR
385. официантка (a waitress)	noun	2	82	1.1	2.66	3.89	2.96	1.34	3.81	10	1.0413926852	5	10	NR	NR	NR	NR
386. охотник (a hunter)	noun	2	97	0.22	3.32	3.11	1.87	1.46	3.8	26.9	1.4456042033	3	7	NR	NR	NR	NR
387. очки (1) (glasses)	noun	1	100	0	2.39	4.54	1.56	1.02	4.16	56	1.7558748557	2	4	NR	NR	NR	NR
388. павлин (a peacock)	noun	1	94	0.44	3.59	3.49	2.04	1.13	4.14	2.4	0.531478917	2	6	NR	NR	NR	NR
389. пазл (a jigsaw)	noun	1	64	1.44	2.2	4.06	2.83	1.18	4.58	0	0	1	4	NR	NR	NR	NR
390. пакет (a packet)	noun	2	87	0.61	1.75	4.62	2	1.17	2.66	65.8	1.8247764625	2	5	NR	NR	NR	NR
391. палец (a finger)	noun	1	92	0.55	2.52	4.89	1.13	1.04	4.62	219.1	2.3426200426	2	5	NR	NR	NR	NR
392. палитра (a palette)	noun	1	86	0.87	1.8	3.18	2.76	1.2	4.45	3.5	0.6532125138	3	7	NR	NR	NR	NR
393. палуба (a deck)	noun	2	53	2.77	3.33	2.6	2.79	1.57	3.56	20.4	1.3304137733	3	6	NR	NR	NR	NR
394. пальма (a palm)	noun	1	99	0.08	2.86	3.01	2.12	1.04	4.07	14.3	1.1846914308	2	5	NR	NR	NR	NR
395. пальто (a coat)	noun	1	82	1.09	2.52	4.27	1.74	1.29	4.01	48.6	1.6954816765	2	5	NR	NR	NR	NR
396. папка (a folder)	noun	2	90	0.6	2.33	4.1	2.9	1.2	3.41	29.7	1.4871383755	2	5	NR	NR	NR	NR
397. парашют (a parachute)	noun	1	91	0.68	2.35	3.3	2.41	1.14	4.47	9.9	1.0374264979	3	7	NR	NR	NR	NR
398. паром (a ferry)	noun	2	55	2.53	3.5	2.93	3.08	1.79	3.58	4.4	0.7323937598	2	5	NR	NR	NR	NR
399. парусник (a sailing boat)	noun	2	51	1.54	3	2.96	2.73	1.3	4.12	2.8	0.5797835966	3	8	NR	NR	NR	NR
